FECHA_PROCESO;RUC_PROVEEDOR;PROVEEDOR;RUC_ENTIDAD;ENTIDAD;TIPO_PROCEDIMIENTO;ORDEN_ELECTRÓNICA;ORDEN_ELECTRÓNICA_GENERADA;ESTADO_ORDEN_ELECTRÓNICA;DOCUMENTO_ESTADO_OCAM;FECHA_FORMALIZACIÓN;FECHA_ÚLTIMO_ESTADO;SUB_TOTAL;IGV;TOTAL;ORDEN_DIGITALIZADA;DESCRIPCIÓN_ESTADO;DESCRIPCIÓN_CESIÓN_DERECHOS;ACUERDO_MARCO
2024-04-01 16:44:13;	20518267877;	MANITEX SOCIEDAD ANONIMA CERRADA - MANITEX S.A.C.;	20136341066;	EMPRESA DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DEL SANTA, CASMA Y HUARMEY SOCIEDAD ANONIMA;	Compra ordinaria;	OCAM-2024-500137-8-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2698503&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-18 00:00:00;	2024-03-18 00:16:55;	293.28;	52.79;	346.07;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-500137-8_14-03-24 10:32:13_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	20570876415;	JARONI & ASOCIADOS E.I.R.L.;	20148288853;	MUNICIPALIDAD PROVINCIAL CAJABAMBA;	Compra ordinaria;	OCAM-2024-300562-5-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2699075&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-18 00:00:00;	2024-03-18 00:16:55;	53739.52;	9673.12;	63412.64;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-300562-5_14-03-24 21:21:41_FISICA.pdf;	;	;	EXT-CE-2021-6 IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
2024-04-01 16:44:13;	10046300489;	CHOQUE DE CONDORI PETRONA;	20148421014;	UNIVERSIDAD NACIONAL SAN LUIS GONZAGA;	Compra ordinaria;	OCAM-2024-93-14-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2699401&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-15 00:00:00;	2024-03-15 00:31:40;	40670.92;	7320.77;	47991.69;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-93-14_13-03-24 15:55:36_FISICA.pdf;	;	;	EXT-CE-2021-6 IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
2024-04-01 16:44:13;	20602429131;	GESTION TRIBUTARIA S.A.C.;	20142167744;	MUNICIPALIDAD PROVINCIAL DE ICA;	Compra ordinaria;	OCAM-2024-300960-35-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2705102&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-22 00:00:00;	2024-03-22 00:22:22;	2220.00;	399.60;	2619.60;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-300960-35_20-03-24 23:40:43_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	20266352337;	SOFTYS PERU S.A.C.;	20144329148;	INSTITUTO NACIONAL MATERNO PERINATAL;	Compra ordinaria;	OCAM-2024-127-15-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2686227&ImprimirCompleto=1;	PAGADA;	;	2024-03-11 09:27:01;	2024-03-18 02:31:32;	9029.75;	1625.36;	10655.11;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-127-15_08-03-24 16:30:48_FISICA.pdf;	Actualizado automáticamente por la vinculación con el SIAF;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	20519272815;	JP INVERSIONES GENERALES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;	20144364059;	FUERZA AEREA DEL PERU;	Compra ordinaria;	OCAM-2024-472-6-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2698124&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-18 00:00:00;	2024-03-18 00:16:55;	37729.19;	6791.25;	44520.44;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-472-6_14-03-24 18:30:12_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	20519272815;	JP INVERSIONES GENERALES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;	20144364059;	FUERZA AEREA DEL PERU;	Compra ordinaria;	OCAM-2024-472-15-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2698386&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-18 00:00:00;	2024-03-18 00:16:55;	53932.89;	9707.92;	63640.81;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-472-15_14-03-24 18:42:09_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	20602209653;	DUBOH SOCIEDAD ANONIMA CERRADA - DUBOH S.A.C.;	20144364059;	FUERZA AEREA DEL PERU;	Compra ordinaria;	OCAM-2024-472-11-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2698241&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-18 00:00:00;	2024-03-18 00:16:55;	5764.50;	1037.61;	6802.11;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-472-11_14-03-24 18:38:39_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	20602429131;	GESTION TRIBUTARIA S.A.C.;	20144364059;	FUERZA AEREA DEL PERU;	Compra ordinaria;	OCAM-2024-472-5-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2698118&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-18 00:00:00;	2024-03-18 00:16:55;	1340.28;	241.25;	1581.53;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-472-5_14-03-24 18:28:06_FISICA.pdf;	;	;	EXT-CE-2021-3 MATERIALES E INSUMOS DE LIMPIEZA, PAPELES PARA ASEO Y LIMPIEZA
2024-04-01 16:44:13;	20605406620;	YENOA SUMINISTROS E.I.R.L.;	20154432516;	MUNICIPALIDAD DISTRITAL SANTIAGO;	Compra ordinaria;	OCAM-2024-300689-44-0;	https://apps1.perucompras.gob.pe//OrdenCompra/obtenerPdfOrdenPublico?ID_OrdenCompra=2697194&ImprimirCompleto=1;	ACEPTADA;	;	2024-03-15 00:00:00;	2024-03-15 00:31:40;	1345.77;	242.24;	1588.01;	https://saeusceprod01.blob.core.windows.net/contentidad/uploads/OCAM-2024-300689-44_13-03-24 17:31:16_FISICA.pdf;	;	;	EXT-CE-2021-6 IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA
